----Metadata----
Import schema version,1
----SpecMetadata----
Manufacturer,Model Name,Acquisition Frequency (MHz),Frequency Start (MHz),Frequency End (MHz),Nominal Gain (dBi),Beamwidth (Degrees),Electrical Downtilt (Degrees),Electrical Downtilt (Min),Electrical Downtilt (Max),Polarization,Description
KP Performance,KP-2SX4-33,2450,2300,2700,18.5,36,0,,,VERTICAL,ProLine Sector Antenna
----PatternData----
Angle (Degrees),Azimuth Gain (dBi),Elevation Gain (dBi)
-179,-17.275,-16.541
-178,-17.257,-17.586
-177,-17.343,-20.42
-176,-17.547,-23.738
-175,-17.889,-21.526
-174,-18.4,-19.384
-173,-19.113,-18.292
-172,-20.09,-17.796
-171,-21.415,-17.559
-170,-23.194,-17.348
-169,-25.523,-17.024
-168,-27.341,-16.817
-167,-26.825,-17.023
-166,-25.737,-17.665
-165,-24.485,-18.822
-164,-22.839,-20.684
-163,-21.117,-23.833
-162,-19.606,-30.406
-161,-18.37,-26.098
-160,-17.386,-24.207
-159,-16.639,-23.898
-158,-16.077,-24.477
-157,-15.683,-25.76
-156,-15.436,-27.676
-155,-15.308,-30.023
-154,-15.293,-32.009
-153,-15.367,-32.74
-152,-15.518,-32.684
-151,-15.73,-32.135
-150,-15.993,-31.311
-149,-16.29,-30.73
-148,-16.621,-30.777
-147,-16.968,-31.777
-146,-17.317,-34.569
-145,-17.665,-42.543
-144,-17.999,-34.047
-143,-18.316,-32.013
-142,-18.61,-31.457
-141,-18.867,-31.534
-140,-19.055,-31.601
-139,-19.149,-31.598
-138,-19.093,-32.212
-137,-18.866,-34.405
-136,-18.471,-42.33
-135,-17.944,-36.531
-134,-17.345,-35.551
-133,-16.726,-36.104
-132,-16.132,-32.162
-131,-15.595,-29.535
-130,-15.135,-28.313
-129,-14.769,-28.119
-128,-14.496,-28.883
-127,-14.32,-30.794
-126,-14.238,-34.606
-125,-14.238,-41.704
-124,-14.32,-39.633
-123,-14.468,-33.667
-122,-14.668,-29.192
-121,-14.907,-26.319
-120,-15.168,-24.316
-119,-15.423,-22.885
-118,-15.659,-21.885
-117,-15.847,-21.244
-116,-15.965,-20.919
-115,-16.005,-20.885
-114,-15.951,-21.116
-113,-15.816,-21.571
-112,-15.612,-22.188
-111,-15.356,-22.884
-110,-15.066,-23.597
-109,-14.769,-24.312
-108,-14.468,-25.013
